Smiles,CorrectionEnergy
CC(C)COC(=O)c1ccc(N)cc1,-4.411308006928664
CCOc1ccc(cc1)C(=O)OCCN(CC)CC,-1.9586511431533893
CCCCOC(=O)c1ccc(N)cc1,-4.352768006929125
[I-].CN1C=CC=C\C1=C/[NH+]=O,45.74957971883385
CCCCOC(=O)COc1ccc(Cl)cc1Cl,-0.4536123355788675
Cc1cc(Cl)ccc1OCCCC(O)=O,-2.69238084260482
Clc1ccc(OCCOC(=O)c2ccccc2)c(Cl)c1,-35.716023678280436
CCCC(O)C(CC)CO,29.96306031295045
CCN(CC)C(=S)SCC(Cl)=C,40.152740687242215
CCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CC,39.056711428838895
C\C(NO)=C(/C)N=O,33.30008233049133
Cc1ccc(N)cc1C,-7.559356550825554
Cc1ccc(Cl)c(Cl)c1,-4.490320729201373
Oc1ccc(Cl)c(Cl)c1,-5.739446400551612
CCOC(=O)C(=O)OCC,33.54596367319123
ClCC(Br)CBr,32.4271921064732
OCC(Br)CBr,30.98273494214854
ClCC(Cl)CCl,30.914962106473368
CCC(N)CO,26.60206912052327
OCC(O)CCl,27.74371777782381
CC\C(C)=N\O,30.94089647199418
COC(=O)CCl,31.067985129294637
CC1CCCO1,29.843259120523
O=C1CCCO1,31.31783080064467
O=C1OCCO1,30.126695129294443
CC(O[P](C)(F)=O)C(C)(C)C,34.107400500096304
CC(C)(C)c1ccc(O)c(c1)C(C)(C)C,-2.7789583443488373
CC(C)N(CCO)C(C)C,29.48448314862556
CC(C)[C@H](NC(C)=O)C(O)=O,31.963125015892032
CN1CCCCC1C(=O)Nc2c(C)cccc2C,-2.0883239788279866
COc1ccc(N)c(c1)[N+]([O-])=O,-6.266913528005034
Oc1c(Cl)cc(Cl)cc1Sc2cc(Cl)cc(Cl)c2O,-37.810846550826575
Cc1ccccc1N=Nc2ccc(N)c(C)c2,-40.67209367827883
NC(=O)NC1NC(=O)NC1=O,27.732631024662513
CCCC(C)C(O)=O,31.38845065037036
CCOC(=O)C(C)O,30.257034979020357
OC(=O)CC(=C)C(O)=O,35.701422517637035
CC(C)COC(=O)C(C)C,32.83843766442121
CCC(CC)CO,29.809400463224282
OCC1CCCO1,29.031171956199287
OCc1occc1,0.2729264351235656
Nc1cccc(c1)C(F)(F)F,-10.193725057850926
CC(C)(C)c1ccc(O)c(O)c1,-5.984579536775158
COc1ccc(cc1N)[S](O)(=O)=O,3.722475166165864
Nc1cc(ccc1C(O)=O)[S](O)(=O)=O,5.0412553533119535
CC(C)(C)C1CCC(O)CC1,32.582491655650806
CC1=CC[C@@H](CC1)C(C)(C)O,35.86843900712178
Cl[S](=O)(=O)c1ccc(I)cc1,9.868975316440645
CC(N)c1ccccc1,-7.031066550825614
CC(O)c1ccccc1,-6.128519386500841
ClC(Cl)c1ccccc1,-4.280590729201322
OC(=O)c1ccccn1,-7.009330542055551
